Area Code (FAO),Year,Value
52,2005,0.844
52,2006,1.486
52,2007,0.938
52,2008,0.89
52,2009,0.755
52,2010,2.292
52,2011,0.733
52,2012,1.425
52,2013,1.514
52,2014,1.176
52,2015,1.597
52,2016,1.385
52,2017,1.236
52,2018,2.181
52,2019,1.967
52,2020,1.968
12,1961,-0.016
12,1962,-0.167
12,1963,-0.192
12,1964,0.091
12,1965,-0.014
12,1966,-0.213
12,1967,-0.187
12,1968,-0.31
12,1969,-0.13
12,1970,-0.485
12,1971,0.036
12,1972,0.472
12,1973,0.336
12,1974,0.091
12,1975,0.479
12,1976,-0.227
12,1977,0.132
12,1978,0.202
12,1979,0.278
12,1980,0.436
12,1981,-0.035
12,1982,0.527
12,1983,0.246
12,1984,0.121
12,1985,0.33
12,1986,0.321
12,1987,0.495
12,1988,0.422
12,1989,0.712
12,1990,0.82
12,1991,0.838
12,1992,0.342
12,1993,0.433
12,1994,0.857
12,1995,0.767
12,1996,0.115
12,1997,0.877
12,1998,1.029
12,1999,0.724
12,2000,0.313
12,2001,0.248
12,2002,0.969
12,2003,1.117
12,2004,0.449
12,2005,0.514
12,2006,0.448
12,2007,0.998
12,2008,0.932
12,2009,0.519
12,2010,0.408
12,2011,0.487
12,2012,0.496
12,2013,0.721
12,2014,1.053
12,2015,1.397
12,2016,1.349
12,2017,1.506
12,2018,1.144
12,2019,1.581
12,2020,1.706
13,1961,-0.465
13,1962,0.393
13,1963,0.625
13,1964,-0.572
13,1965,0.223
13,1966,0.521
13,1967,-0.389
13,1968,-0.475
13,1969,0.537
13,1970,0.23
13,1971,-0.26
13,1972,-0.579
13,1973,-0.239
13,1974,-0.235
13,1975,-0.219
13,1976,-0.506
13,1977,0.328
13,1978,0.095
13,1979,0.853
13,1980,0.347
13,1981,0.404
13,1982,-0.097
13,1983,-0.854
13,1984,0.016
13,1985,0.352
13,1986,0.649
13,1987,0.524
13,1988,0.601
13,1989,0.008
13,1990,0.383
13,1991,-0.244
13,1992,-0.549
13,1993,0.119
13,1994,0.988
13,1995,0.238
13,1996,0.68
13,1997,0.359
13,1998,1.417
13,1999,2.06
13,2000,1.15
13,2001,1.24
13,2002,1.584
13,2003,1.267
13,2004,1.389
13,2005,1.066
13,2006,1.839
13,2007,1.052
13,2008,1.295
13,2009,1.182
13,2010,2.141
13,2011,1.355
13,2012,1.299
13,2013,1.418
13,2014,1.814
13,2015,2.355
13,2016,1.63
13,2017,2.091
13,2018,2.25
13,2019,2.125
13,2020,2.119
16,1961,0.155
16,1962,-0.258
16,1963,-0.082
16,1964,0.099
16,1965,-0.2
16,1966,0.318
16,1967,-0.221
16,1968,-0.242
16,1969,-0.019
16,1970,-0.038
16,1971,-0.586
16,1972,-0.032
16,1973,0.146
16,1974,-0.152
16,1975,-0.088
16,1976,-0.11
16,1977,-0.265
16,1978,-0.23
16,1979,0.488
16,1980,0.152
16,1981,-0.157
16,1982,-0.027
16,1983,-0.093
16,1984,-0.239
16,1985,0.154
16,1986,0.135
16,1987,0.433
16,1988,0.429
16,1989,0.2
16,1990,-0.042
16,1991,0.049
16,1992,-0.047
16,1993,-0.325
16,1994,0.316
16,1995,0.29
16,1996,0.242
16,1997,-0.015
16,1998,0.598
16,1999,0.877
16,2000,0.337
16,2001,0.461
16,2002,0.52
16,2003,0.373
16,2004,0.418
16,2005,0.766
16,2006,1.007
16,2007,0.472
16,2008,0.26
16,2009,1.037
16,2010,1.005
16,2011,0.292
16,2012,0.485
16,2013,0.377
16,2014,0.563
16,2015,0.796
16,2016,1.395
16,2017,1.242
16,2018,1.039
16,2019,1.264
16,2020,1.053
14,1961,0.26
14,1962,0.13
14,1963,0.233
14,1964,0.019
14,1965,-0.252
14,1966,-0.125
14,1967,-0.229
14,1968,-0.343
14,1969,0.327
14,1970,0.088
14,1971,-0.161
14,1972,-0.005
14,1973,0.013
14,1974,-0.334
14,1975,-0.559
14,1976,-0.426
14,1977,-0.04
14,1978,0.254
14,1979,0.043
14,1980,0.506
14,1981,0.275
14,1982,0.127
14,1983,0.241
14,1984,-0.104
14,1985,-0.298
14,1986,-0.202
14,1987,0.497
14,1988,0.342
14,1989,0.149
14,1990,0.292
14,1991,0.346
14,1992,0.254
14,1993,0.314
14,1994,0.303
14,1995,0.355
14,1996,0.198
14,1997,0.175
14,1998,0.967
14,1999,0.351
14,2000,0.192
14,2001,0.395
14,2002,0.372
14,2003,0.76
14,2004,0.614
14,2005,1.056
14,2006,0.765
14,2007,0.605
14,2008,0.252
14,2009,0.374
14,2010,1.101
14,2011,0.648
14,2012,0.48
14,2013,0.76
14,2014,0.405
